ID,bid,user_id,User's Nickname,Weibo text,Headline article url,Post location,Aite users,topic,Number of forwards,Number of comments,Number of likes,release time,publishing tools,Weibo picture url,Weibo video url,retweet_id
4.87E+15,MrMKsoSXd,7468093630,LeBron Dynamics LBJ,[Three-point shooter] James made long-distance three-pointers during the Lakers era. #NBATucaoConference#O web link,,,,NBA Tucao Conference,0,0,2,2/6/23 19:01,Weibo video account,,,
4.87E+15,MrEOuwy6N,7796217480,Harden’s time machine Lucky,"Fee Note: For the 76ers, the NBA trade deadline may be more about reducing the salary cap than adding reinforcements! As long as Embiid stays healthy and Harden continues to pass first and serve as a triple-double threat, they can make progress in the playoffs. Therefore, the 76ers are not expected to make any major lineup changes before the NBA trade deadline at 3 pm on Thursday (4 am on February 10th, Beijing time)! ! ! But they want a backup center, a backup point guard, and a shooter in the trade market. According to a report from Yahoo Sports on Saturday, Jazz big man Vanderbilt is the 76ers' main signing target to replace Embiid. However, the Jazz want a first-round pick to trade the five-year veteran! The 6-foot-9 Vanderbilt is a power forward but has the ability to guard all three frontcourt positions. The Pacers consider him an attractive option. The Jazz have discussed the possibility of trading Vanderbilt and Beasley to the Knicks, Trail Blazers and Hawks in a package! Philadelphia may need a third-party team to get involved and make a trade for him. Because Philadelphia doesn't have a ton of tradable assets, but the 76ers have an available roster spot, they might be in a position to get a player in need on the buyout market! According to Spotrac data, the 76ers currently have a total salary of $151.4 million on the roster. They have to take off $1.1 million to get under the league's $150.3 million luxury tax threshold! This is why Korkmaz (salary is $5 million this season) and Springer (salary is $2.1 million) have been mentioned as candidates for the 76ers to consider trading! PhillyVoice: First reported that Georges Niang ($3.4 million) and House ($4.1 million) may also be candidates for the trade! (Because Niang has trade value) According to sources, second-year guard Springer does not have much trade value in the league! #Philadelphia76ers#",,,,Philadelphia 76ers,0,6,1,2/5/23 22:49,Weibo web version,['https://wx1.sinaimg.cn/large/008vC8jely1haszyuivtsj30it0fnk1e.jpg'],,
4.87E+15,MryTUn51r,1883881851,NBA,"#NBA新春春夜# [McCollum made a sudden stop and hit a three-pointer] How strong is the shooter’s touch? CJ McCollum stepped out to catch the ball, faced Brown's defense and went straight to the free throw line. He made a shot while out of balance and caused the opponent to foul at the same time! #lakersvspelicans##NBA ZeroDistance# [Poke: ONBA player power list to cheer for your favorite players! 】LNBA’s Weibo video",,,,"NBA New Year's Eve, Lakers vs Pelicans, NBA close distance",0,2,4,2/5/23 7:46,Weibo video account,,"http://locallimit.us.sinaimg.cn/o0/AwgND25Plx082U1milmM01041200hpMe0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1694319945&ssig=wz% 2FvTIq6ej&KID=unistore,video",
4.87E+15,MrrY088cn,6323290897,Zhuge basketball talk,"The Lakers' 4-for-2 trade plan involved Westbrook in exchange for Irving + Joha. The Nets had to rebuild suddenly, and Irving applied for a trade to the Nets. NBA reporter Shams reported that Irving prefers to be traded before the trade deadline. Another reporter, Woj, reported that Durant was surprised that Irving applied for a trade. He said that the entire team, including Durant, felt caught off guard. It's really surprising, because the Nets are currently ranked fourth in the Eastern Conference, the situation is still very good, and they have hope of winning the championship. Irving applied for a trade at this time, which hurt the Nets very much. Famous reporter Haynes reported that Irving informed the Nets that if he is not traded to other teams, he will leave directly as a free agent in the offseason. Durant also applied for a trade to the Nets last offseason, but he ultimately stayed with the Nets. Obviously, Irving and Durant's situation is different. Durant's contract still has four years, and there is no doubt about Durant's playing attitude. As long as he plays, he will go all out. Irving's contract expires at the end of this season, and his playing attitude is far inferior to Durant's. Irving applied for a trade, and the Lakers became the most popular next destination. During last offseason, the Lakers hoped to acquire Irving. In order to get Irving, the Lakers proposed a trade plan of Westbrook + 2 first-round picks, but the Nets rejected it. The Lakers once again offered Irving, and Westbrook + 2 first-round picks are still the main body of the transaction. ESPN reported an epic 4-for-2 trade plan. The specific content is that the Lakers will send Westbrook, Lonnie Walker, and two first-round picks to acquire Irving and Joe Harris. Goodbye Westbrook, the Lakers still have to send him away. Although his performance has improved after switching to the bench, the Lakers are worried that Westbrook will be targeted in the playoffs. Westbrook's poor shooting characteristics are indeed easy to target in the playoffs. Irving has a problem with his playing attitude, but he is very capable, and his partnership with James is very effective. In the three years that James and Irving worked together, they reached the finals and won a championship. In this epic 4-for-2 trade plan, the Lakers not only got Irving, but also shooter Joe Harris. This season, Joe Harris shot 40.9% from three-point range. Throughout his career, Joe Harris has shot 43.6% from three-point range. The arrival of Irving and Joe Harris will greatly improve the Lakers' three-point shooting ability, and this is the Lakers' weakest shortcoming now. Although the Lakers are only ranked 12th in the Western Conference, they are very close to the teams in front of them. As long as the Lakers do not suffer serious injuries after the trade, it will be almost easy to get a play-off spot. As long as they can play in the play-offs, the Lakers can compete for the championship. First they traded for Rui Hachimura, and then they were expected to trade for Irving and Joe Harris. The Lakers went crazy in the trading market. For the Nets, after the transaction, their hopes of winning the championship will be greatly reduced. Westbrook has provided very little help to the Nets, and Lonnie Walker is like a nerve knife. After the trade, their strength dropped a notch, and their hopes of winning the championship were basically dashed. But the Nets had no choice. Irving applied for a trade, and the Nets could only stop their losses. They gave away Joe Harris' big contract and got young Lonnie Walker and two first-round picks. It doesn’t matter where you play this season. From the moment Irving applied for a trade, the Nets were already passive. Maybe the Nets are already regretting why they didn't send him away last offseason.",,,,,0,0,2,2/4/23 14:07,NBA Super Talk,['https://wx2.sinaimg.cn/large/006TVSORly1harfarm9irj30u00gudkv.jpg'],,
4.87E+15,Mrm4olY3g,6802318303,Yu Owen KAII,"NBA legend Vince Carter talked about the Nets, a team he once played for, on the ""GetUp"" program. ""The Nets have a chance to compete for the championship. When they stayed healthy, the team's momentum was very good. I think Ben Simmons is the X factor. Can Simmons be aggressive? Can Simmons break into the penalty area and force the opponent to defend? Him? ""The Nets were doing great before KD got injured, and they have shooters now, and they can space the floor. Sometimes Simmons is just not aggressive enough. He must be aggressive, because in the playoffs, opponents will choose Simmons to defeat them. ” #Brooklyn Nets #Brooklyn Nets",,,,Brooklyn Nets,0,1,1,2/3/23 23:06,Brooklyn Nets Super Talk,['https://wx4.sinaimg.cn/large/007qlPJlly1haqp9k567pj30qo12fjv6.jpg'],,
4.86E+15,Mrg8jtJI3,1644114517,Durant Chinese website,"Vince Carter: ""The Nets have a chance to hit the championship. When they stayed healthy before, the team's momentum was very good. I think Ben Simmons is the X factor. Can Simmons be aggressive? Can Simmons break into the penalty area? Force opponents to guard him? The Nets performed well before KD was injured. They now have shooters and they can open up the space. Sometimes Simmons is just not aggressive enough. He has to be aggressive because in the playoffs, opponents They will choose to let Simmons defeat them."" # Durant # #NBATucaoConference # #NBA新春春节#L Durant Chinese website's Weibo video",,,,"Durant, NBA complaints conference, NBA New Year greetings",0,24,95,2/3/23 8:00,Weibo video account,,"http://f.video.weibocdn.com/o0/LAby7lNQlx082QnN0Wi401041200yut30E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1694319972&ssig=lElV aNGMUs&KID=unistore,video",
4.86E+15,MrcPn1Ceh,6111706194,She said no,"There is a group called Harden fans. When the 76ers win: 1. Embiid is bloody c, Harden is 20+10. He said: Deng Di is strong in the pick-and-roll. Deng can score steadily and drive his teammates, which is awesome! 2. Embiid’s blood c, Harden 15+8, he said: The new generation of cake king! Brother Deng fed the emperor and activated the team! 3. Embiid's blood is c, Harden is 10+6. He said: Xiaola, fortunately, I have the emperor and teammates! Great everyone! 4. Embiid pulled a big pull, Harden was blood-c. Sorry, this has not happened yet. 5. Embiid pulled a big pull, Harden was blood-c. Sorry, this has not happened yet. 6. Embiid is absent, Harden is blood-c, sorry. , This situation has not happened yet. When the 76ers lost: 1. Embiid was bloody, Harden was 20+10. He said: Brother Deng can't carry him, Embiid, you are still thinking about drawing a foul at the last moment? Drag Harden down! 2. Embiid's blood c, Harden 15+8, he said: Try your best! The weak shooting guard will be defeated! Dye your hair yellow? 3. Embiid's blood is low, Harden is 10+6. He said: Xiao pull, but his teammates are not strong! How many more teammates can score and assists to reach double figures? What a bad team! Don’t you want me, Brother Deng, to be your first scoring option? It's all Nash and Irving's fault! My Brother Deng is like this because he injured his hamstring! 4. Embiid Jr., Harden’s blood c He said: How many times have you wiped the floor? Are you worthy of Brother Deng? Change to Capella! 5. Embiid pulled hard, Harden was bleeding. Sorry, this situation has not happened yet. 6. Embiid is absent, Harden is bleeding. Sorry, this situation has not happened yet. Special circumstances: 1. Losing, Maxilla pulled her crotch. He said: Is this the second scoring point? Trade it away! Give me the ball, Brother Deng! 2. After losing, Tohara crotched him and said: Rubbish contract! Send him away quickly and find another shooter, Eric Gordon would be pretty good! 3. Losing, Tucker scored 0+5+2. He said: Tucker will always have perfect scores! 4. To win, Maxi blood c. He said: Double shots in the backcourt! Young man, study hard with Brother Deng, Brother Deng will activate you! 5. Win the game, Toha’s blood c He said: Brother Qiayan! 6. During the winning streak, Rivers’ evaluation was that he said: The pick-and-roll is perfect! 7. After being reversed, he said: Coach Pig Head! Get out of class quickly! The essence of human beings has been reversed! When the 76ers didn't have a game: 1. The Nets won consecutive games and he didn't dare to say anything. 2. Kd was absent and Irving led the team to win and he didn't say anything. 3. Kd was absent and Irving led the team to lose. They celebrated the New Year even though they didn't watch it. After that game, he was in the 76 section: ten posts and eleven of them were mocking Irving and praising Harden. He went to the Nets section, found a post from a Nets fan reflecting on the game, and started criticizing Irving, saying ""Irving is the best of all."" His ability to lead a team makes his hips bigger!"" and a series of hacks that everyone has heard a hundred times. They hacked Irving, and they were so happy. When I saw that there were many people whose lights were lit, it turned out that only their people were lit + Bucks fans + Celtics fans 4. Curry led the team to lose and he said: Don’t go out of bounds! Warriors referee the martial arts team! Curry is not as good as Harden! That championship should belong to Brother Deng! 5. The All-Star voting started and he said: Come on, everyone! Brother Deng is the strongest defender in the Eastern Conference! Can't lose to them? Everyone go vote for me, Brother Deng! 6. All-Star fans did not vote half as well as Irving. He said: What kind of honor is the All-Star? Fans don’t understand football! There is no reference value! 7. Irving ranked first in the All-Star voting, and Harden was only fourth. He had nothing to say. When he was facing Irving fans, I will simulate it for everyone on behalf of Irving fans. He said: Irving is such an honor, hahaha! I’m the MVP + scoring leader and assist leader! Irving didn't even get the best award of the month hahahaha! I said: Harden fans will always live in the past, why don’t you compete with KD Curry for honors? Also, when it comes to Irving and Harden, you only talk about honor? Because you all know that Harden is no longer the Rockets player. Harden's level has already dropped to the same level as Irving. I said: Irving has won the championship as the main player. He said: What else does Irving have besides championships? ? My brother Deng also has a championship! I said: World Championship champion, right? Oh, Irving was the MVP of that World Championship. He said: Irving has poor team leadership skills! I said: Irving is positioned as a top scorer, and he came to the Nets to assist KD in winning the championship together. Could it be that since the Lakers' record is so bad, you also want to say that James has poor team leadership skills? At this time, they knew that a team not only has the boss, but also four role players, but they didn't mention it at all, because they wanted to blackmail Irving! He said: Irving leads the team to fight for the No. 1 pick! I said: The Cavaliers were ninth in the Eastern Conference that year, and he had nothing to say about the number one pick that they got thanks to the good luck of the little master. He said: Irving is not worth 200 million in four years! I said: Irving and his team have never proposed 200 million in four years. In theory, 200 million in four years is the highest salary that Irving can get. He has nothing to say after being spread by Hupu headline-makers. I responded with a picture of an American Yang Yi scolding Irving and the fans. He had nothing to say and I said: Irving provoked you and provoked you? Why did you come to the Nets section to criticize Irving? He has nothing to say except for what his NBA audience knows: Harden has now declined to the level of a player with Irving. Only they don't know (maybe they also know, but they just don't want to admit it) I said: I have seen through you all a long time ago. You are here to criticize Irving just because you are jealous that Irving has surpassed Harden. He has nothing to say. There will definitely be many unpleasant comments about Irving, Irving fans, and others in the next article. My words, hahaha, I expected it a long time ago. Don't worry, Ben and I won't care. It's still the same sentence, ""I have seen through you. You are just jealous that Irving has surpassed Harden."" If you are here If you start scolding me below, it means that you admit that what I said is the truth, and you have broken your guard. Hahaha, I will not reply to you, because I can never wake up a person who is pretending to sleep, and it makes you angry and angry. It does not affect the Nets fans' enjoyment of watching the game, nor does it affect Irving's wealth, family happiness, and All-Star starting, hahaha! Happy Harden, and happy Harden fans too hahahaha",,,,,0,3,5,2/2/23 23:35,Android client,,,
4.86E+15,MrcbJoZUS,5280373411,TLC little fellow Celine,"[The Rockets and the Warriors discuss a 5-for-2 trade offer! Wiseman and Kuminga are expected to take charge of Hugh City! 】According to US media reporter Shams, the Warriors have received trade offers from other teams for Kuminga, Moody and Wiseman. The Rockets are interested in acquiring Kuminga and Wiseman and have made an offer to the Warriors. 5 for 2 quotation plan. The Rockets sent Tate, Martin Jr., Matthews, Boban and the Bucks' 2023 first-round pick to get Kuminga and Wiseman from the Warriors. Among the players sent by the Rockets, Tate, Martin Jr. and Matthews are all important rotation players for the team. They have strong immediate combat ability, which can just make up for the strength of the Warriors' bench lineup. Tate has only played in 14 games this season due to injury, averaging 7.4 points, 4.1 rebounds and 3.1 assists per game. He is a defensive warrior who can defend from position one to position four. Martin Jr. averaged 11.4 points, 5.5 rebounds and 1.4 assists per game. He is a dunker with an explosive playing style and strong offensive and defensive capabilities. Matthews is an outside shooter who is good at off-ball offense and can enhance the scoring ability of the bench lineup. Kuminga is the 7th overall pick in the first round of Jaylen Green. This season he averages 19 minutes per game, 8.2 points, 3.1 rebounds and 1.7 assists. He is currently only 20 years old. Wiseman is the second overall pick in 2020. He has played in 19 games this season, averaging 12 minutes per game and averaging 6.8 points and 3.6 rebounds. Kuminga and Wiseman can get more opportunities in the rebuilt team. This transaction gave the Warriors immediate combat power, and the Rockets acquired two young players without losing their cornerstone players to continue to increase the team's talent. #同乐城体育##同乐看NBA##NBA#",,,,"Tongle Sports, Tongle Watch NBA, NBA",0,0,2,2/2/23 21:57,Weibo web version,"['https://wx3.sinaimg.cn/large/005LlUl5ly1haphmy32auj30xc0mxq4u.jpg', 'https://wx2.sinaimg.cn/large/005LlUl5ly1haphmz4mytj33xs2mie1r.jpg', 'https://wx1.sinaimg.cn/large/ 005LlUl5ly1haphn0xjmrj33h02bc4l3.jpg', 'https://wx4.sinaimg.cn/large/005LlUl5ly1haphn1b8moj30rs0dwwf4.jpg']",,
4.86E+15,Mr8J0AIvF,6559109159,NBA basketball wide angle,"The Kings and Warriors are both rumored to be interested in Thybulle. The NBA trade deadline this season is approaching, and more and more trade rumors have surfaced. Among them, the 76ers' defensive general Thybulle is ""very popular"". It is now reported that the defending champion Warriors and Kings want to trade this ""big player"". Lock"". ""NBCSports"" quoted Philadelphia sources as saying that the Warriors have contacted the 76ers to explore the possibility of trading Thybulle. Although Thybulle is not good offensively, the Warriors are interested in his ability to defend the second team twice and can face him. The main defenders against strong competitors in the Western Conference, such as Grizzlies Morant, Nuggets Murray and others. Thybulle played 50 games with the 76ers last season, averaging 25.5 minutes of playing time. However, the team has strengthened this season with Moulton, Tucker, and House. In addition, Thybulle lacks outside ability, so he played Time is compressed. ""NBCSports"" reported that if the Warriors trade for Thybulle, his offensive positioning will be focused on cutting, and he will not be allowed to go to the outside where he is not good at, because there are already two major shooters in the team, Curry and K. Thompson. In addition to the Warriors, it is reported that the Kings also want to trade for Thybulle. The Kings are currently ranked third in the Western Conference and are expected to end their embarrassing record of not making the playoffs for 16 consecutive years. Reinforcing Thybulle can increase defensive strength in the playoffs.",,,,,0,0,0,2/2/23 13:08,Weibo web version,['https://wx1.sinaimg.cn/large/0079TlVdgy1hap2cmip03j30m80et765.jpg'],,
4.86E+15,MqXRBFo6L,1883881851,NBA,"#NBA新春人生# [Vucevic hits three consecutive three-pointers] The shooter’s attributes are full! ! In the first quarter, Vucevic used Zubac as an outside shooting scope and hit three consecutive three-pointers from different positions! #clippersvsbulls##NBAzerodistance# [Poke: ONBA player power list to cheer for your favorite players! 】LNBA’s Weibo video",,,,"NBA New Year's Eve, Clippers vs. Bulls, NBA close distance",0,1,7,2/1/23 9:29,Weibo video account,,"http://locallimit.us.sinaimg.cn/o0/C2vf7Cr4lx082NKQEUSc01041200faPS0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1694319992&ssig=rZiW jVFqUV&KID=unistore,video",
